movie_id,genre_id
1,1
2,2
3,3
4,2
5,2
6,3
7,2
8,4
9,3
10,1
11,3
12,1
13,5
14,3
15,3
16,4
17,3
18,1
19,4
20,6
21,1
22,7
23,2
24,8
25,1
26,2
27,6
28,2
29,2
30,3
31,3
32,3
33,1
34,2
35,1
36,4
37,1
38,2
39,4
40,3
41,1
42,2
43,3
44,8
45,3
46,1
47,8
48,7
49,5
50,9
51,1
52,6
53,6
54,1
55,4
56,3
57,8
58,3
59,8
60,3
61,3
62,8
63,1
64,3
65,6
66,1
67,8
68,1
69,3
70,10
71,8
72,2
73,3
74,1
75,1
76,9
77,1
78,2
79,6
80,2
81,1
82,10
83,1
84,6
85,1
86,1
87,2
88,2
89,1
90,1
91,1
92,1
93,1
94,7
95,1
96,6
97,6
98,1
99,1
100,1
101,1
102,8
103,4
104,2
105,1
106,1
107,3
108,4
109,2
110,3
111,7
112,2
113,6
114,2
115,7
116,5
117,7
118,6
119,7
120,10
121,6
122,1
123,1
124,2
125,1
126,2
127,1
128,6
129,6
130,3
131,3
132,4
133,6
134,2
135,3
136,8
137,7
138,1
139,4
140,3
141,1
142,3
143,1
144,3
145,10
146,8
147,4
148,1
149,1
150,1
151,8
152,3
153,6
154,1
155,3
156,1
157,4
158,8
159,4
160,3
161,3
162,2
163,2
164,2
165,2
166,3
167,1
168,3
169,6
170,8
171,3
172,3
173,4
174,1
175,1
176,4
177,3
178,7
179,7
180,2
181,3
182,1
183,6
184,1
185,1
186,2
187,2
188,1
189,2
190,1
191,7
192,6
193,7
194,3
195,1
196,1
197,8
198,2
199,1
200,1
201,3
202,3
203,1
204,6
205,8
206,1
207,6
208,6
209,7
210,1
211,8
212,4
213,8
214,6
215,4
216,3
217,3
218,4
219,8
220,10
221,6
222,2
223,3
224,3
225,1
226,7
227,1
228,4
229,8
230,8
231,7
232,2
233,6
234,1
235,4
236,3
237,1
238,6
239,2
240,6
241,3
242,8
243,4
244,1
245,8
246,8
247,7
248,1
249,1
250,6
251,6
252,6
253,1
254,1
255,2
256,6
257,2
258,1
259,1
260,1
261,6
262,3
263,4
264,1
265,1
266,6
267,7
268,1
269,1
270,8
271,9
272,1
273,7
274,1
275,3
276,4
277,6
278,1
279,1
280,1
281,7
282,4
283,1
284,6
285,1
286,1
287,2
288,2
289,1
290,4
291,1
292,1
293,1
294,3
295,1
296,1
297,1
298,4
299,2
300,7
301,7
302,1
303,1
304,7
305,2
306,7
307,1
308,3
309,11
310,1
311,6
312,1
313,6
314,1
315,1
316,6
317,4
318,6
319,1
320,3
321,12
322,6
323,7
324,1
325,3
326,3
327,6
328,4
329,7
330,8
331,3
332,8
333,1
334,1
335,2
336,1
337,3
338,4
339,3
340,3
341,1
342,4
343,3
344,1
345,3
346,4
347,1
348,3
349,1
350,1
351,3
352,1
353,3
354,1
355,1
356,3
357,3
358,8
359,4
360,4
361,7
362,3
363,2
364,2
365,4
366,7
367,8
368,3
369,3
370,1
371,1
372,4
373,4
374,6
375,3
376,3
377,7
378,8
379,6
380,2
381,6
382,1
383,1
384,2
385,4
386,8
387,1
388,1
389,8
390,3
391,1
392,6
393,10
394,8
395,8
396,6
397,2
398,1
399,8
400,1
401,8
402,7
403,6
404,1
405,8
406,7
407,1
408,1
409,8
410,3
411,4
412,1
413,6
414,6
415,7
416,4
417,6
418,4
419,9
420,10
421,1
422,1
423,1
424,4
425,1
426,7
427,6
428,1
429,4
430,1
431,3
432,1
433,1
434,1
435,6
436,3
437,2
438,2
439,1
440,1
441,2
442,2
443,1
444,2
445,6
446,6
447,1
448,1
449,6
450,2
451,2
452,1
453,1
454,1
455,6
456,11
457,1
458,7
459,6
460,6
461,1
462,1
463,6
464,6
465,2
466,6
467,1
468,1
469,8
470,7
471,6
472,6
473,3
474,2
475,6
476,1
477,3
478,1
479,3
480,2
481,6
482,3
483,1
484,4
485,2
486,1
487,2
488,3
489,1
490,6
491,1
492,1
493,3
494,6
495,1
496,3
497,7
498,7
499,8
500,6
501,1
502,3
503,6
504,1
505,2
506,7
507,3
508,1
509,6
510,8
511,3
512,2
513,7
514,7
515,1
516,8
517,1
518,8
519,2
520,2
521,1
522,8
523,2
524,1
525,4
526,6
527,2
528,6
529,1
530,6
531,6
532,3
533,6
534,1
535,3
536,4
537,7
538,6
539,6
540,3
541,6
542,4
543,3
544,9
545,4
546,2
547,6
548,1
549,7
550,1
551,1
552,7
553,7
554,1
555,1
556,2
557,6
558,6
559,1
560,2
561,1
562,6
563,6
